,file,name,enum,xmean,xrmse,PC,CE,EW
55,trends-TP/cmip6-ts/CanESM5:r19i1p1f1_2080.nc,CanESM5,19i1p1f1_2080.nc,3.238477945327759,2.842529296875,-0.29480066895484924,-0.38468265533447266,-0.4370706081390381
56,trends-TP/cmip6-ts/CanESM5:r19i1p2f1_2080.nc,CanESM5,19i1p2f1_2080.nc,3.3073925971984863,2.9131906032562256,-0.2742116451263428,-0.4494662284851074,-0.29854631423950195
57,trends-TP/cmip6-ts/CanESM5:r1i1p1f1_2080.nc,CanESM5,1i1p1f1_2080.nc,3.011049747467041,2.6154632568359375,-0.23268145322799683,-0.38809990882873535,-0.31613588333129883
58,trends-TP/cmip6-ts/CanESM5:r1i1p2f1_2080.nc,CanESM5,1i1p2f1_2080.nc,3.029193639755249,2.6368236541748047,-0.23289375007152557,-0.41454434394836426,-0.2928581237792969
59,trends-TP/cmip6-ts/CanESM5:r20i1p1f1_2080.nc,CanESM5,20i1p1f1_2080.nc,3.276094675064087,2.8781332969665527,-0.3982352018356323,-0.37964916229248047,-0.33461642265319824
60,trends-TP/cmip6-ts/CanESM5:r20i1p2f1_2080.nc,CanESM5,20i1p2f1_2080.nc,3.2734084129333496,2.8754827976226807,-0.36354294419288635,-0.3876950740814209,-0.32805442810058594
61,trends-TP/cmip6-ts/CanESM5:r21i1p1f1_2080.nc,CanESM5,21i1p1f1_2080.nc,3.0797715187072754,2.6852385997772217,-0.2624799609184265,-0.3876919746398926,-0.30826616287231445
62,trends-TP/cmip6-ts/CanESM5:r21i1p2f1_2080.nc,CanESM5,21i1p2f1_2080.nc,3.2965152263641357,2.9008257389068604,-0.3755594491958618,-0.46831846237182617,-0.24084138870239258
63,trends-TP/cmip6-ts/CanESM5:r22i1p1f1_2080.nc,CanESM5,22i1p1f1_2080.nc,3.1736605167388916,2.782106399536133,-0.3464222252368927,-0.46575021743774414,-0.37603187561035156
64,trends-TP/cmip6-ts/CanESM5:r22i1p2f1_2080.nc,CanESM5,22i1p2f1_2080.nc,3.0515010356903076,2.6577277183532715,-0.22238312661647797,-0.3646659851074219,-0.38583874702453613
65,trends-TP/cmip6-ts/CanESM5:r23i1p1f1_2080.nc,CanESM5,23i1p1f1_2080.nc,3.1941776275634766,2.8014039993286133,-0.26762980222702026,-0.43891477584838867,-0.32824015617370605
66,trends-TP/cmip6-ts/CanESM5:r23i1p2f1_2080.nc,CanESM5,23i1p2f1_2080.nc,3.3662374019622803,2.976897716522217,-0.4024461507797241,-0.5047903060913086,-0.38037824630737305
67,trends-TP/cmip6-ts/CanESM5:r24i1p1f1_2080.nc,CanESM5,24i1p1f1_2080.nc,3.3388736248016357,2.9444973468780518,-0.36848634481430054,-0.44455671310424805,-0.3671708106994629
68,trends-TP/cmip6-ts/CanESM5:r24i1p2f1_2080.nc,CanESM5,24i1p2f1_2080.nc,3.2719955444335938,2.8775644302368164,-0.29348576068878174,-0.4186744689941406,-0.3267631530761719
69,trends-TP/cmip6-ts/CanESM5:r25i1p1f1_2080.nc,CanESM5,25i1p1f1_2080.nc,3.185230016708374,2.7900240421295166,-0.3303109109401703,-0.43368005752563477,-0.3174929618835449
70,trends-TP/cmip6-ts/CanESM5:r25i1p2f1_2080.nc,CanESM5,25i1p2f1_2080.nc,3.2427055835723877,2.8457489013671875,-0.3308178782463074,-0.4076228141784668,-0.3150217533111572
71,trends-TP/cmip6-ts/CanESM5:r2i1p1f1_2080.nc,CanESM5,2i1p1f1_2080.nc,3.3914005756378174,3.0036003589630127,-0.3447037637233734,-0.5319969654083252,-0.36528754234313965
72,trends-TP/cmip6-ts/CanESM5:r2i1p2f1_2080.nc,CanESM5,2i1p2f1_2080.nc,3.315232515335083,2.9209163188934326,-0.3948730528354645,-0.45776891708374023,-0.38194751739501953
73,trends-TP/cmip6-ts/CanESM5:r3i1p1f1_2080.nc,CanESM5,3i1p1f1_2080.nc,3.0975735187530518,2.7040839195251465,-0.30738094449043274,-0.3949716091156006,-0.4545400142669678
